time,fusion
2018-01-10 20:00:00,28005kt 9999 RA SCT025 M 07 05 q1018 23009KT 9999 SCT020TCU 07/05 Q1018 TEMPO 3000 SHRA SCT025TCU
2018-01-10 22:00:00,28005kt 9999 RA FEW015 SCT 08 05 q1018 30012KT 240V340 9999 FEW015 SCT025TCU 08/05 Q1019 TEMPO 3000 SHRA TS SCT025CB
2018-01-10 23:00:00,29011kt 9999 WM SCT030 M 08 05 q1019 31013G25KT 250V010 9999 SCT030TCU 10/04 Q1019 TEMPO SHRA
2018-01-11 04:00:00,30017kt 9999 WM FEW050 M 09 04 q1021 32006KT 280V360 9999 FEW048 08/05 Q1021
2018-01-11 07:00:00,30015kt 9999 WM SCT030 M 08 03 q1023 30009KT 260V360 9999 -RA SCT025 09/03 Q1023 TEMPO SHRA SCT025TCU
2018-01-11 09:00:00,30011kt 9999 WM SCT030 M 08 04 q1024 32007KT 260V030 9999 SCT025TCU 09/04 Q1025 TEMPO SHRA
2018-01-11 10:00:00,30013kt 9999 RA SCT040 SCT 09 04 q1025 30009KT 250V010 9000 -SHRA SCT025TCU 10/05 Q1025 NOSIG
2018-01-11 13:00:00,30013kt 9999 WM SCT040 SCT 11 05 q1026 32009KT 240V010 9999 BKN030 11/04 Q1026 NOSIG
2018-01-11 16:00:00,29005kt 9999 WM FEW030 SCT 10 05 q1026 32006KT 260V010 9999 FEW030 SCT045 10/05 Q1026 NOSIG
2018-01-11 17:00:00,29007kt 9999 WM FEW030 SCT 09 05 q1026 31006KT 260V010 9999 FEW030 SCT045 10/04 Q1027 NOSIG
2018-01-11 18:00:00,29005kt 9999 WM SCT035 M 08 05 q1027 VRB01KT 9999 SCT032 10/05 Q1027 NOSIG
2018-01-11 20:00:00,24005kt 9999 WM FEW050 M 07 06 q1027 24004KT 9999 FEW035 BKN048 09/05 Q1028 NOSIG
2018-01-11 23:00:00,19007kt 9999 WM FEW050 M 06 05 q1027 23005KT 9999 BKN046 06/03 Q1028 NOSIG
